Ticker;Name;Industry;Sub Industry;Headquarters Location;Date added
ON;ON Semiconductor;Information Technology;Semiconductors;Phoenix, Arizona;2022
ORCL;Oracle Corporation;Information Technology;Application Software;Austin, Texas;1989
ORLY;O Reilly Auto Parts;Consumer Discretionary;Specialty Stores;Springfield, Missouri;2009
OTIS;Otis Worldwide;Industrials;Industrial Machinery;Farmington, Connecticut;2020
OXY;Occidental Petroleum;Energy;Oil & Gas Exploration & Production;Houston, Texas;1982
PAYC;Paycom;Information Technology;Application Software;Oklahoma City, Oklahoma;2020
PCAR;Paccar;Industrials;Construction Machinery & Heavy Trucks;Bellevue, Washington;1980
PCG;PG&E Corporation;Utilities;Multi Utilities;San Francisco, California;2022
PEAK;Healthpeak;Real Estate;Health Care REITs;Long Beach, California;2008
PEG;Public Service Enterprise Group;Utilities;Electric Utilities;Newark, New Jersey;1957
PEP;PepsiCo;Consumer Staples;Soft Drinks;Purchase, New York;1957
PFE;Pfizer;Health Care;Pharmaceuticals;New York City, New York;1957
PFG;Principal Financial Group;Financials;Life & Health Insurance;Des Moines, Iowa;2002
PG;Procter & Gamble;Consumer Staples;Personal Products;Cincinnati, Ohio;1957
PGR;Progressive Corporation;Financials;Property & Casualty Insurance;Mayfield Village, Ohio;1997
PH;Parker Hannifin;Industrials;Industrial Machinery;Cleveland, Ohio;1985
PHM;PulteGroup;Consumer Discretionary;Homebuilding;Atlanta, Georgia;1984
PKG;Packaging Corporation of America;Materials;Paper Packaging;Lake Forest, Illinois;2017
PKI;PerkinElmer;Health Care;Health Care Equipment;Waltham, Massachusetts;1985
PLD;Prologis;Real Estate;Industrial REITs;San Francisco, California;2003
PM;Philip Morris International;Consumer Staples;Tobacco;New York City, New York;2008
PNC;PNC Financial Services;Financials;Regional Banks;Pittsburgh, Pennsylvania;1988
PNR;Pentair;Industrials;Industrial Machinery;Worsley, United Kingdom;2012
POOL;Pool Corporation;Consumer Discretionary;Distributors;Covington, Louisiana;2020
PPG;PPG Industries;Materials;Specialty Chemicals;Pittsburgh, Pennsylvania;1957
PRU;Prudential Financial;Financials;Life & Health Insurance;Newark, New Jersey;2002
PSA;Public Storage;Real Estate;Specialized REITs;Glendale, California;2005
