Name,Industry,Sub Industry,Headquarters Location,Date added,,,
Synchrony Financial,6,Consumer Finance,Stamford, Connecticut,2015,,,
Stryker Corporation,7,Health Care Equipment,Kalamazoo, Michigan,2000,,,
Sysco,5,Food Distributors,Houston, Texas,1986,,,
AT&T,1,Integrated Telecommunication Services,Dallas, Texas,1983,,,
Molson Coors Beverage Company,5,Brewers,Chicago, Illinois,1976,,,
TransDigm Group,8,Aerospace & Defense,Cleveland, Ohio,2016,,,
Teledyne Technologies,9,Electronic Equipment & Instruments,Thousand Oaks, California,2020,,,
Bio Techne,7,Life Sciences Tools & Services,Minneapolis, Minnesota,2021,,,
TE Connectivity,9,Electronic Manufacturing Services,Schaffhausen, Switzerland,2011,,,
Teradyne,9,Semiconductor Equipment,North Reading, Massachusetts,2020,,,
Truist,6,Regional Banks,Charlotte, North Carolina,1997,,,
Teleflex,7,Health Care Equipment,Wayne, Pennsylvania,2019,,,
Target Corporation,2,General Merchandise Stores,Minneapolis, Minnesota,1976,,,
TJX Companies,2,Apparel Retail,Framingham, Massachusetts,1985,,,
Thermo Fisher Scientific,7,Life Sciences Tools & Services,Waltham, Massachusetts,2004,,,
T Mobile US,1,Wireless Telecommunication Services,Bellevue, Washington,2019,,,
Targa Resources,4,Oil & Gas Storage & Transportation,Houston, Texas,2022,,,
Trimble Inc,9,Electronic Equipment & Instruments,Westminster, Colorado,2021,,,
The Travelers Companies,6,Property & Casualty Insurance,New York City, New York,2002,,,
Tractor Supply,2,Specialty Stores,Brentwood, Tennessee,2014,,,
Tesla Inc,2,Automobile Manufacturers,Austin, Texas,2020,,,
Tyson Foods,5,Packaged Foods & Meats,Springdale, Arkansas,2005,,,
Trane Technologies,8,Building Products,Dublin, Ireland,2010,,,
Take Two Interactive,1,Interactive Home Entertainment,New York City, New York,2018,,,
Textron,8,Aerospace & Defense,Providence, Rhode Island,1978,,,
Tyler Technologies,9,Application Software,Plano, Texas,2020,,,
United Airlines Holdings,8,Airlines,Chicago, Illinois,2015,,,
UDR Inc,11,Residential REITs,Highlands Ranch, Colorado,2016,,,
Universal Health Services,7,Health Care Facilities,King of Prussia, Pennsylvania,2014,,,
Ulta Beauty,2,Specialty Stores,Bolingbrook, Illinois,2016,,,
UnitedHealth Group,7,Managed Health Care,Minnetonka, Minnesota,1994,,,
Union Pacific Corporation,8,Railroads,Omaha, Nebraska,1957,,,
United Parcel Service,8,Air Freight & Logistics,Sandy Springs, Georgia,2002,,,
United Rentals,8,Trading Companies & Distributors,Stamford, Connecticut,2014,,,
Visa Inc,9,Data Processing & Outsourced Services,San Francisco, California,2009,,,
VF Corporation,2,Apparel  Accessories & Luxury Goods,Denver  Colorado,1979,,,
Vici Properties,11,Hotel & Resort REITs,New York City, New York,2022,,,
Vulcan Materials Company,10,Construction Materials,Birmingham, Alabama,1999,,,
Verisk,8,Research & Consulting Services,Jersey City, New Jersey,2015,,,
Verisign,9,Internet Services & Infrastructure,Dulles, Virginia,2006,,,
Vertex Pharmaceuticals,7,Biotechnology,Cambridge, Massachusetts,2013,,,
Ventas,11,Health Care REITs,Chicago, Illinois,2009,,,
Viatris,7,Pharmaceuticals,Pittsburgh, Pennsylvania,2004,,,
Verizon,1,Integrated Telecommunication Services,New York City, New York,1983,,,
Wabtec,8,Construction Machinery & Heavy Trucks,Pittsburgh, Pennsylvania,2019,,,
Walgreens Boots Alliance,5,Drug Retail,Deerfield, Illinois,1979,,,
Warner Bros Discovery,1,Broadcasting,New York City, New York,2022,,,
Western Digital,9,Technology Hardware  Storage & Peripherals,San Jose  California,2009,,,
WEC Energy Group,12,Electric Utilities,Milwaukee, Wisconsin,2008,,,
Welltower,11,Health Care REITs,Toledo, Ohio,2009,,,
Wells Fargo,6,Diversified Banks,San Francisco, California,1976,,,
Williams Companies,4,Oil & Gas Storage & Transportation,Tulsa, Oklahoma,1975,,,
Walmart,5,Hypermarkets & Super Centers,Bentonville, Arkansas,1982,,,
Berkley,6,Property & Casualty Insurance,Greenwich, Connecticut,2019,,,
West Pharmaceutical Services,7,Health Care Supplies,Exton, Pennsylvania,2020,,,
Willis Towers Watson,6,Insurance Brokers,London, United Kingdom,2016,,,
Wynn Resorts,2,Casinos & Gaming,Paradise, Nevada,2008,,,
Xcel Energy,12,Multi Utilities,Minneapolis, Minnesota,1957,,,
ExxonMobil,4,Integrated Oil & Gas,Irving, Texas,1957,,,
Dentsply Sirona,7,Health Care Supplies,Charlotte, North Carolina,2008,,,
Xylem Inc,8,Industrial Machinery,White Plains, New York,2011,,,
Yum Brands,2,Restaurants,Louisville, Kentucky,1997,,,
Zimmer Biomet,7,Health Care Equipment,Warsaw, Indiana,2001,,,
Zebra Technologies,9,Electronic Equipment & Instruments,Lincolnshire, Illinois,2019,,,
Zions Bancorporation,6,Regional Banks,Salt Lake City, Utah,2001,,,
Zoetis,7,Pharmaceuticals,Parsippany, New Jersey,2013,,,
